cycle,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12
52,0.19351007218559602,0.1762372340691937,0.09794454346079601,0.14629608465941077,0.05262815825250974,0.036253910854045376,0.07342868794154196,0.050065621091955,0.04876225370910962,0.039491936862515085,0.03692191669726903,0.030495621945064843,0.03346861814218195
53,0.1898202585484775,0.17202876078695806,0.07942013140172477,0.12976146970660757,0.049858507584232874,0.03944792901772145,0.06955192318740447,0.057999299720202666,0.05593706471288243,0.04416435355520854,0.03342090687622296,0.024376310799554286,0.03882308927355939
54,0.19385684133921,0.15380163112110554,0.075135591720089,0.11755282276255705,0.03649901088503876,0.053529770034756834,0.059871381724150075,0.07184620825443404,0.04672545019239158,0.03731539314872906,0.028537101600217652,0.03319970273671867,0.025734254250975398
55,0.19418955853621792,0.15645248549379376,0.09017273439986065,0.11427434696664078,0.029709417828141963,0.04971508067901803,0.06824920442727062,0.07382075304839178,0.054552370770476324,0.02748688582932068,0.015302587278172915,0.011367154829391985,0.02011350944975654
56,0.1991977910460106,0.14809126686235027,0.09166189082557057,0.10625196806895888,0.0237961426718735,0.046327307408525906,0.07708981582457271,0.07005414322623613,0.057829524099107084,0.013776605174302415,0.013918213375792615,0.011146706817512021,0.031729039045830194
57,0.20303504043633436,0.1553685575168564,0.10752194030643478,0.1077803311852522,0.033723471527722086,0.049191713566316866,0.06385576523283587,0.056681885997762006,0.0635047530483344,0.01001672973427564,0.01190435825041264,0.020491663728097385,0.02658813414999221
58,0.19328159366754596,0.1533877339617941,0.09754533977196096,0.10028739491519469,0.024692093255729783,0.04008578268940917,0.05592362301182635,0.05675648450500864,0.0721446622528036,0.011020765269635533,0.01465123477193157,0.015675751436330536,0.03303335304398925
59,0.19459771686087565,0.15774520102222905,0.10845610928724018,0.1036584594970637,0.017503267272890158,0.04425521280452164,0.05717192451843924,0.055142615925560336,0.05935738595816363,0.010614067308954662,0.019069378693691266,0.02825759644192624,0.032520024910401894
60,0.1758200481591746,0.14846058049368088,0.10223382301712101,0.0966080941883166,0.017098341455431303,0.039059413889823,0.05197565929426974,0.06481100229300744,0.056195101652701016,0.02270401194981386,0.016098648006629447,0.024897886215426566,0.026285828029987118
61,0.17107722033050832,0.13616382067654417,0.09137887949814215,0.10227064081055835,0.03482824590041365,0.020135320269035008,0.03017373019819576,0.06895914692466282,0.05615518774371862,0.03676906989492262,0.007080359207065219,0.017727990718822365,0.018997700226885857
62,0.1693519811145823,0.12321399086801253,0.0706383588255413,0.09639104962078152,0.043534950855235115,0.02513515019483296,0.027623595456984586,0.06278748650447905,0.05276868999164309,0.03242021903933727,0.009835664189029007,0.022702673706070587,0.009597801837589319
63,0.16990627583259868,0.1176992016736688,0.06539244828009852,0.09432374443680959,0.03049700717245503,0.02512117100408461,0.03860489519563045,0.06292229391495047,0.05098192870626772,0.04440804745048154,0.00831002515123064,0.020849756519394035,0.020415830413678202
64,0.15905672334404172,0.10417750382029307,0.0710924554110188,0.10557907698597026,0.02734570988666811,0.05260581605487717,0.029430651294780168,0.06195694126903758,0.03658988980639345,0.03397940109130097,0.0032567942809416596,0.015358055420523774,0.004750448287455779
65,0.14893396138683077,0.09549741055469047,0.044692167271937484,0.10654590365721062,0.02943222464676448,0.03865241762929129,0.027430331677890978,0.07980770877729584,0.031043725692695864,0.04743276762939335,0.019538028952712148,0.02433012139647488,0.006541681918837085
66,0.14536298316547885,0.09959790879604384,0.029983085196202516,0.11335732189966419,0.03381023666443507,0.031701950117028345,0.017009855157995267,0.06930103284892741,0.03249307151977484,0.045484529734860765,0.01584645854451382,0.021131433346449076,0.006207841270217646
67,0.1351666867721848,0.1087988174716975,0.02072390982636431,0.12266538794048742,0.039214569930660755,0.022043154835943827,0.03026423677397787,0.05204537191071795,0.026637578042244637,0.050707089824713066,0.02079298628266102,0.019396549141726928,0.013748464605680525
68,0.12568306710289795,0.10064081835720665,0.033278808021445304,0.10348843598597235,0.037767797328112314,0.024262316404745982,0.01873321050804428,0.057656499117908176,0.013072038204670813,0.04874706538187663,0.0230876819678404,0.020674393285685322,0.013373885098631771
69,0.10588426106686182,0.1069671210387066,0.024226282461192305,0.10330040167163601,0.015549871668043324,0.01375764931051631,0.025954512965238066,0.06566660351886797,0.011161405394288258,0.02591037257936241,0.019431880020185296,0.007060800152559926,0.010321714697606043
